date,overall_aqi_value,main_pollutant,site_name_of_overall_aqi,site_id_of_overall_aqi,source_of_overall_aqi,co,ozone,pm25,no2
2020-01-01,35,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,34,20,35
2020-01-02,49,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,16,25,43,49
2020-01-03,30,PM2.5,Near Road,11-001-0051,AQS,7,22,30,26
2020-01-04,32,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,26,32,21
2020-01-05,32,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,31,14,32
2020-01-06,32,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,32,21,31
2020-01-07,45,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,13,20,32,45
2020-01-08,33,Ozone,Takoma Rec Center,11-001-0050,AQS,5,33,22,29
2020-01-09,30,NO2,RIVER TERRACE,11-001-0041,AQS,6,22,22,30
2020-01-10,34,NO2,Takoma Rec Center,11-001-0050,AQS,6,23,25,34
2020-01-11,31,PM2.5,Near Road,11-001-0051,AQS,7,31,31,24
2020-01-12,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,34,10,15
2020-01-13,34,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AQS,11,9,34,25
2020-01-14,43,PM2.5,Near Road,11-001-0051,AQS,11,8,43,35
2020-01-15,41,PM2.5,Near Road,11-001-0051,AQS,6,17,41,25
2020-01-16,33,Ozone,Takoma Rec Center,11-001-0050,AQS,6,33,20,15
2020-01-17,33,Ozone,Takoma Rec Center,11-001-0050,AQS,5,33,15,33
2020-01-18,29,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,27,26,29
2020-01-19,31,Ozone,Takoma Rec Center,11-001-0050,AQS,3,31,20,19
2020-01-20,38,Ozone,Takoma Rec Center,11-001-0050,AQS,2,38,21,25
2020-01-21,38,Ozone,Takoma Rec Center,11-001-0050,AQS,3,38,18,25
2020-01-22,42,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,8,29,42,42
2020-01-23,63,PM2.5,Near Road,11-001-0051,AQS,14,12,63,51
2020-01-24,50,PM2.5,Near Road,11-001-0051,AQS,8,34,50,39
2020-01-25,32,Ozone,Takoma Rec Center,11-001-0050,AQS,3,32,13,23
2020-01-26,29,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,27,12,29
2020-01-27,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,31,24,30
2020-01-28,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,31,19,13
2020-01-29,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,34,21,34
2020-01-30,37,NO2,Near Road,11-001-0051,AQS,8,25,35,37
2020-01-31,51,NO2,Near Road,11-001-0051,AQS,8,20,44,51
2020-02-01,62,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,13,19,62,34
2020-02-02,36,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,7,29,36,36
2020-02-03,49,NO2,RIVER TERRACE,11-001-0041,AQS,10,27,32,49
2020-02-04,38,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,19,37,38
2020-02-05,32,PM2.5,RIVER TERRACE,11-001-0041,AQS,8,24,32,30
