"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2021","41","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","3","20","13","41","20"
"01/02/2021","22","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","22","7","19","19"
"01/03/2021","26","PM2.5","RIVER TERRACE","11-001-0041","AQS","6","16","9","26","23"
"01/04/2021","28","PM2.5","RIVER TERRACE","11-001-0041","AQS","7","15","9","28","22"
"01/05/2021","34","PM2.5","RIVER TERRACE","11-001-0041","AQS","5","14","12","34","26"
"01/06/2021","27","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","27","9","21","19"
"01/07/2021","32","NO2","RIVER TERRACE","11-001-0041","AQS","5","31","10","21","32"
"01/08/2021","26","NO2","RIVER TERRACE","11-001-0041","AQS","5","24","11","25","26"
"01/09/2021","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","34","9","16","25"
"01/10/2021","39","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","14","33","17","38","39"
"01/11/2021","68","PM2.5","Near Road","11-001-0051","AQS","17","12","31","68","50"
"01/12/2021","65","PM2.5","Near Road","11-001-0051","AQS","16","27","26","65","44"
"01/13/2021","70","PM2.5","Near Road","11-001-0051","AQS","19","25","31","70","61"
"01/14/2021","68","PM2.5","Near Road","11-001-0051","AQS","13","30","24","68","57"
"01/15/2021","67","PM2.5","Near Road","11-001-0051","AQS","9","24","24","67","46"
"01/16/2021","30","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","30","9","25","29"
"01/17/2021","24","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","24","6","17","24"
"01/18/2021","31","NO2","RIVER TERRACE","11-001-0041","AQS","6","26","6","15","31"
"01/19/2021","44","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","10","32","10","20","44"
"01/20/2021","51","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","15","28","12","27","51"
"01/21/2021","47","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","10","28","17","38","47"
"01/22/2021","39","NO2","RIVER TERRACE","11-001-0041","AQS","11","33","10","22","39"
"01/23/2021","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","33","10","17","19"
"01/24/2021","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","33","13","24","33"
"01/25/2021","43","PM2.5","RIVER TERRACE","11-001-0041","AQS","7","19","18","43","32"
"01/26/2021","43","PM2.5","RIVER TERRACE","11-001-0041","AQS","5","15","12","43","33"
"01/27/2021","45","PM2.5","Near Road","11-001-0051","AQS","5","29","11","45","22"
"01/28/2021","32","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","32","11","21","11"
