"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"01/01/2022","50","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","6","9","50","16"
"01/02/2022","25","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","25","17","21"
"01/03/2022","33","NO2","Near Road","11-001-0051","AQS","5","28","28","33"
"01/04/2022","44","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","8","26","44","35"
"01/05/2022","48","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","6","19","48","31"
"01/06/2022","45","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","7","27","45","35"
"01/07/2022","41","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","5","29","41","18"
"01/08/2022","46","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","6","28","46","25"
"01/09/2022","51","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","7","31","51","26"
"01/10/2022","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","35","23","18"
"01/11/2022","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","31","26","30"
"01/12/2022","42","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","13","25","42","40"
"01/13/2022","66","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","18","9","66","53"
"01/14/2022","62","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","7","27","62","35"
"01/15/2022","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","31","25","24"
"01/16/2022","39","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","5","26","39","30"
"01/17/2022","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","34","25","22"
"01/18/2022","40","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","9","31","40","40"
"01/19/2022","42","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","13","30","42","36"
"01/20/2022","38","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","6","30","38","33"
"01/21/2022","35","NO2","RIVER TERRACE","11-001-0041","AQS","3","30","28","35"
"01/22/2022","40","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","6","32","40","38"
"01/23/2022","52","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","8","30","52","36"
"01/24/2022","57","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","7","26","57","35"
"01/25/2022","49","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","8","31","49","40"
"01/26/2022","42","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","3","36","42","39"
"01/27/2022","63","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","8","31","63","42"
"01/28/2022","68","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","7","24","68","40"
"01/29/2022","37","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","37","24","20"
"01/30/2022","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","33","26","22"
"01/31/2022","56","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","6","32","56","42"
"02/01/2022","62","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","7","31","62","42"
"02/02/2022","65","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","8","26","65","41"
"02/03/2022","45","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","8","31","45","33"
"02/04/2022","28","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","28","21","14"
"02/05/2022","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","33","29","19"
"02/06/2022","35","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","6","34","35","33"
"02/07/2022","57","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","6","23","57","37"
"02/08/2022","54","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","8","38","54","38"
"02/09/2022","52","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","13","35","52","43"
"02/10/2022","42","NO2","RIVER TERRACE","11-001-0041","AQS","11","37","32","42"
"02/11/2022","47","NO2","RIVER TERRACE","11-001-0041","AQS","15","43","45","47"
"02/12/2022","40","Ozone","RIVER TERRACE","11-001-0041","AQS","3","40","38","25"
"02/13/2022","44","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","3","28","44","21"
"02/14/2022","45","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","3","34","45","25"
"02/15/2022","57","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","6","30","57","42"
"02/16/2022","54","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","6","35","54","48"
"02/17/2022","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","36","35","18"
"02/18/2022","37","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","37","19","17"
"02/19/2022","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","38","28","36"
"02/20/2022","37","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","37","25","35"
"02/21/2022","38","Ozone","RIVER TERRACE","11-001-0041","AQS","6","38","34","37"
"02/22/2022","41","NO2","RIVER TERRACE","11-001-0041","AQS","8","32","38","41"
"02/23/2022","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","35","29","12"
"02/24/2022","40","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","5","23","40","17"
"02/25/2022","28","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","28","27","18"
"02/26/2022","53","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","7","35","53","26"
"02/27/2022","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","44","40","31"
"02/28/2022","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","44","39","25"
"03/01/2022","47","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","9","36","47","45"
"03/02/2022","50","NO2","RIVER TERRACE","11-001-0041","AQS","10","41","44","50"
"03/03/2022","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","41","21","24"
"03/04/2022","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","36","29","29"
"03/05/2022","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","43","36","29"
"03/06/2022","60","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","7","39","60","31"
"03/07/2022","36","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","5","34","36","11"
"03/08/2022","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","40","22","14"
"03/09/2022","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","34","26","20"
"03/10/2022","51","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","7","37","51","39"
"03/11/2022","51","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","9","43","51","38"
"03/12/2022","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","41","28","12"
