county,average_cases,average_deaths,geoid,state,estimate_households_with_internet,estimate_number_commuting_to_work,estimate_percent_essential_workers,estimate_mean_earnings_usd,estimate_health_insurance_coverage,estimate_families_below_poverty_line_percent,moe_households_with_internet,moe_number_commuting_to_work,moe_percent_essential_workers,moe_mean_earnings_usd,moe_health_insurance_coverage,moe_families_below_poverty_line_percent
District of Columbia,51847.1978021978,1104.8296703296703,11001,District of Columbia,270336,371014,17.5,145322,673717,NA,2264,2683,0.5,1933,341,NA
Allegany County,7694.165289256199,217.65934065934067,24001,Maryland,22353,26127,26.6,69654,62927,NA,560,698,2.1,3012,563,NA
Anne Arundel County,44252.04958677686,642.5961538461538,24003,Maryland,204413,306178,19.9,132176,560769,NA,1516,2597,0.8,2285,1755,NA
Baltimore County,64934.606060606064,1578.9285714285713,24005,Maryland,290530,421882,27,110354,843113,NA,2150,3204,0.6,1532,826,NA
Calvert County,4488.250688705234,82.92857142857143,24009,Maryland,29938,48385,21.1,138531,91056,NA,542,1037,1.6,4911,349,NA
Caroline County,2670.0371389270977,34.59340659340659,24011,Maryland,10091,15749,22.1,83196,32864,NA,246,430,2,5253,130,NA
Caroline County,2670.0371389270977,34.59340659340659,51033,Virginia,9074,15635,21.4,91346,28866,NA,463,530,3.6,7056,593,NA
Carroll County,6293.237964236589,162.90384615384616,24013,Maryland,56507,89420,24.9,126463,169959,NA,612,1218,1,3224,339,NA
Carroll County,6293.237964236589,162.90384615384616,51035,Virginia,9148,12226,28.1,59183,28976,NA,470,730,3.8,4716,75,NA
Cecil County,6718,148.20054945054946,24015,Maryland,34458,49295,21.9,99238,102404,NA,667,1113,1.5,4106,192,NA
Charles County,11411.37741046832,207.6346153846154,24017,Maryland,52432,83085,19.5,122400,161916,NA,806,1139,1.1,3183,613,NA
Dorchester County,3077.3223140495866,60.87362637362637,24019,Maryland,10852,14596,25.7,77472,32098,NA,357,533,2.2,4061,165,NA
Frederick County,14560.720770288859,217.36263736263737,24021,Maryland,89267,139252,21.4,123393,264776,NA,927,1434,0.9,2281,506,NA
Frederick County,14560.720770288859,217.36263736263737,51069,Virginia,27866,43380,22.4,103820,88665,NA,599,933,1.6,4203,343,NA
Garrett County,2368.137741046832,67.8434065934066,24023,Maryland,10086,13453,21.7,86698,28487,NA,413,519,2.4,8683,149,NA
Harford County,16739.73002754821,292.8708791208791,24025,Maryland,89700,134224,22.4,119064,256737,NA,826,1627,1.1,2149,525,NA
Howard County,19331.567493112947,248.0631868131868,24027,Maryland,112793,171034,25.6,157716,325406,NA,904,1680,0.9,2915,740,NA
Kent County,1404.719008264463,48.18131868131868,24029,Maryland,6434,8893,22.7,88056,18905,NA,290,408,3.2,6503,125,NA
Montgomery County,40830.27785419532,827.8873626373627,24031,Maryland,361465,553355,21.8,156348,1048183,NA,1678,3165,0.4,1737,861,NA
