OBJECTID,REPORT_DATE,WARD,LIVES_LOST,POSITIVE_CASES,TOTAL_TESTS,LOAD_TIME
1,2021/03/05 00:00:00+00,Ward 1,104,4990,159428,2023/01/07 08:00:08+00
2,2021/03/06 00:00:00+00,Ward 1,104,4999,160084,2023/01/07 08:00:08+00
3,2021/03/07 00:00:00+00,Ward 1,105,5008,160509,2023/01/07 08:00:08+00
4,2021/03/08 00:00:00+00,Ward 1,105,5038,161546,2023/01/07 08:00:08+00
5,2021/03/09 00:00:00+00,Ward 1,105,5045,161874,2023/01/07 08:00:08+00
6,2021/03/10 00:00:00+00,Ward 1,106,5062,162424,2023/01/07 08:00:08+00
7,2021/03/11 00:00:00+00,Ward 1,106,5080,163275,2023/01/07 08:00:08+00
8,2021/03/12 00:00:00+00,Ward 1,106,5093,164102,2023/01/07 08:00:08+00
9,2021/03/13 00:00:00+00,Ward 1,106,5100,164550,2023/01/07 08:00:08+00
10,2021/03/14 00:00:00+00,Ward 1,106,5108,164806,2023/01/07 08:00:08+00
11,2021/03/15 00:00:00+00,Ward 1,106,5120,165229,2023/01/07 08:00:08+00
12,2021/03/16 00:00:00+00,Ward 1,106,5129,165663,2023/01/07 08:00:08+00
13,2021/03/17 00:00:00+00,Ward 1,106,5133,165993,2023/01/07 08:00:08+00
14,2021/03/18 00:00:00+00,Ward 1,106,5144,166670,2023/01/07 08:00:08+00
15,2021/03/19 00:00:00+00,Ward 1,106,5157,167352,2023/01/07 08:00:08+00
16,2021/03/20 00:00:00+00,Ward 1,106,5167,168503,2023/01/07 08:00:08+00
17,2021/03/21 00:00:00+00,Ward 1,106,5176,168681,2023/01/07 08:00:08+00
18,2021/03/22 00:00:00+00,Ward 1,106,5186,169255,2023/01/07 08:00:08+00
19,2021/03/23 00:00:00+00,Ward 1,106,5197,169609,2023/01/07 08:00:08+00
20,2021/03/24 00:00:00+00,Ward 1,106,5206,170014,2023/01/07 08:00:08+00
21,2021/03/25 00:00:00+00,Ward 1,106,5216,171047,2023/01/07 08:00:08+00
22,2021/03/26 00:00:00+00,Ward 1,106,5244,171882,2023/01/07 08:00:08+00
23,2021/03/27 00:00:00+00,Ward 1,106,5254,172441,2023/01/07 08:00:08+00
24,2021/03/28 00:00:00+00,Ward 1,106,5254,172659,2023/01/07 08:00:08+00
25,2021/03/29 00:00:00+00,Ward 1,106,5291,173368,2023/01/07 08:00:08+00
26,2021/03/30 00:00:00+00,Ward 1,106,5307,173790,2023/01/07 08:00:08+00
27,2021/03/31 00:00:00+00,Ward 1,106,5318,174194,2023/01/07 08:00:08+00
28,2021/04/01 00:00:00+00,Ward 1,107,5335,175207,2023/01/07 08:00:08+00
29,2021/04/02 00:00:00+00,Ward 1,107,5354,175797,2023/01/07 08:00:08+00
30,2021/04/03 00:00:00+00,Ward 1,107,5370,176314,2023/01/07 08:00:08+00
31,2021/04/04 00:00:00+00,Ward 1,107,5376,176518,2023/01/07 08:00:08+00
32,2021/04/05 00:00:00+00,Ward 1,108,5381,177060,2023/01/07 08:00:08+00
33,2021/04/06 00:00:00+00,Ward 1,108,5382,177367,2023/01/07 08:00:08+00
34,2021/04/07 00:00:00+00,Ward 1,108,5390,178114,2023/01/07 08:00:08+00
35,2021/04/08 00:00:00+00,Ward 1,108,5390,178906,2023/01/07 08:00:08+00
36,2021/04/09 00:00:00+00,Ward 1,108,5404,179368,2023/01/07 08:00:08+00
37,2021/04/10 00:00:00+00,Ward 1,108,5427,180011,2023/01/07 08:00:08+00
38,2021/04/11 00:00:00+00,Ward 1,108,5434,180223,2023/01/07 08:00:08+00
39,2021/04/12 00:00:00+00,Ward 1,108,5454,180677,2023/01/07 08:00:08+00
40,2021/04/13 00:00:00+00,Ward 1,108,5476,181239,2023/01/07 08:00:08+00
41,2021/04/14 00:00:00+00,Ward 1,108,5479,181635,2023/01/07 08:00:08+00
42,2021/04/15 00:00:00+00,Ward 1,108,5496,182363,2023/01/07 08:00:08+00
43,2021/04/16 00:00:00+00,Ward 1,108,5506,182769,2023/01/07 08:00:08+00
44,2021/04/17 00:00:00+00,Ward 1,108,5513,183285,2023/01/07 08:00:08+00
45,2021/04/18 00:00:00+00,Ward 1,108,5520,183547,2023/01/07 08:00:08+00
46,2021/04/19 00:00:00+00,Ward 1,108,5528,183807,2023/01/07 08:00:08+00
47,2021/04/20 00:00:00+00,Ward 1,108,5539,184092,2023/01/07 08:00:08+00
48,2021/04/21 00:00:00+00,Ward 1,108,5547,184419,2023/01/07 08:00:08+00
49,2021/04/22 00:00:00+00,Ward 1,108,5565,185066,2023/01/07 08:00:08+00
50,2021/04/23 00:00:00+00,Ward 1,108,5571,185421,2023/01/07 08:00:08+00
51,2021/04/24 00:00:00+00,Ward 1,108,5581,185985,2023/01/07 08:00:08+00
52,2021/04/25 00:00:00+00,Ward 1,108,5584,186129,2023/01/07 08:00:08+00
53,2021/04/26 00:00:00+00,Ward 1,109,5594,186763,2023/01/07 08:00:08+00
54,2021/04/27 00:00:00+00,Ward 1,109,5598,187017,2023/01/07 08:00:08+00
55,2021/04/28 00:00:00+00,Ward 1,109,5600,187323,2023/01/07 08:00:08+00
56,2021/04/29 00:00:00+00,Ward 1,109,5609,,2023/01/07 08:00:08+00
57,2021/04/30 00:00:00+00,Ward 1,109,5611,188330,2023/01/07 08:00:08+00
58,2021/05/01 00:00:00+00,Ward 1,109,5610,188812,2023/01/07 08:00:08+00
59,2021/05/02 00:00:00+00,Ward 1,109,5613,188999,2023/01/07 08:00:08+00
60,2021/05/03 00:00:00+00,Ward 1,109,5620,189184,2023/01/07 08:00:08+00
61,2021/05/04 00:00:00+00,Ward 1,109,5626,188330,2023/01/07 08:00:08+00
62,2021/05/05 00:00:00+00,Ward 1,109,5630,189780,2023/01/07 08:00:08+00
63,2021/05/06 00:00:00+00,Ward 1,109,5639,190111,2023/01/07 08:00:08+00
64,2021/05/07 00:00:00+00,Ward 1,109,5639,190247,2023/01/07 08:00:08+00
65,2021/05/08 00:00:00+00,Ward 1,109,5640,190345,2023/01/07 08:00:08+00
66,2021/05/09 00:00:00+00,Ward 1,109,5642,190391,2023/01/07 08:00:08+00
67,2021/05/10 00:00:00+00,Ward 1,109,5648,190912,2023/01/07 08:00:08+00
68,2021/05/11 00:00:00+00,Ward 1,109,5654,191357,2023/01/07 08:00:08+00
69,2021/05/12 00:00:00+00,Ward 1,109,5659,191584,2023/01/07 08:00:08+00
70,2021/05/13 00:00:00+00,Ward 1,109,5660,191841,2023/01/07 08:00:08+00
71,2021/05/14 00:00:00+00,Ward 1,109,5669,192565,2023/01/07 08:00:08+00
72,2021/05/15 00:00:00+00,Ward 1,109,5673,192955,2023/01/07 08:00:08+00
73,2021/05/16 00:00:00+00,Ward 1,109,5678,193146,2023/01/07 08:00:08+00
74,2021/05/17 00:00:00+00,Ward 1,109,5680,193559,2023/01/07 08:00:08+00
75,2021/05/18 00:00:00+00,Ward 1,109,5681,193559,2023/01/07 08:00:08+00
76,2021/05/19 00:00:00+00,Ward 1,109,5684,193798,2023/01/07 08:00:08+00
77,2021/05/20 00:00:00+00,Ward 1,109,5684,193869,2023/01/07 08:00:08+00
78,2021/05/21 00:00:00+00,Ward 1,109,5690,194548,2023/01/07 08:00:08+00
79,2021/05/22 00:00:00+00,Ward 1,109,5690,194893,2023/01/07 08:00:08+00
80,2021/05/23 00:00:00+00,Ward 1,110,5693,195065,2023/01/07 08:00:08+00
81,2021/05/24 00:00:00+00,Ward 1,110,5692,195228,2023/01/07 08:00:08+00
82,2021/05/25 00:00:00+00,Ward 1,110,5695,195358,2023/01/07 08:00:08+00
83,2021/05/26 00:00:00+00,Ward 1,110,5697,195519,2023/01/07 08:00:08+00
84,2021/05/27 00:00:00+00,Ward 1,110,5697,196022,2023/01/07 08:00:08+00
85,2021/05/28 00:00:00+00,Ward 1,110,5704,,2023/01/07 08:00:08+00
86,2021/05/31 00:00:00+00,Ward 1,110,5710,196255,2023/01/07 08:00:08+00
87,2021/06/01 00:00:00+00,Ward 1,110,5711,196255,2023/01/07 08:00:08+00
88,2021/06/02 00:00:00+00,Ward 1,110,5712,196960,2023/01/07 08:00:08+00
89,2021/06/03 00:00:00+00,Ward 1,110,5715,196960,2023/01/07 08:00:08+00
90,2021/06/04 00:00:00+00,Ward 1,110,5720,,2023/01/07 08:00:08+00
